seed,epoch,role,checkpoint,model_sha256,duplicate
20260831,50,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_050.pt,5e0f1ddb76e3629a630ca17a63151848b4a2aee031ab92d0b149603d099edb5e,False
20260831,75,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_075.pt,cffcc7ff4e305da6a71aba2b6c39659d3cf009722fc65e52eb9cce67520426eb,False
20260831,100,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/epoch_100.pt,f6f90d14013298a0931c68aec9ed4bb5e5a1593ab47aeddcb82f26c1d76b2df0,False
20260831,66,validation_selected_best,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260831/best_validation.pt,a787f6f8727c19d35eb00288e8bb91178de803858f862d6c18b5db4aced42722,False
20260901,0,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/init.pt,dc414814070183d16ee90423106bad027e583deee7bef2ec8359d283d2985942,False
20260901,10,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_010.pt,c46c52f1b3669d62df854417bfaee1ac4727a3480b89c303995b2ca4ab7e0297,False
20260901,25,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_025.pt,ae9a2cf0438b5b82ad513114d293cc245cc1e39ebbcdab336ee6c90a7d1e6690,False
20260901,50,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_050.pt,5f04f5834eb42d9c07b9a203c9db71008e55baa59be6de36abb07fd066c54dce,False
20260901,75,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_075.pt,0a9abe105f3dfd9d1fc2d1dbcdc71c329097791251513213f5bd9bc684c093e8,False
20260901,100,scheduled,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/epoch_100.pt,c895e56cc06a06aedbc690d2aedb2037a67e98ce199414b4cd14fefbf25abab2,False
20260901,55,validation_selected_best,results/experiment03_soft_spectral/experiment03_20260831_server/checkpoints/full_dense/seed_20260901/best_validation.pt,8ed1cf2236a1a1f50c075798dbc35e9164111a03fae4b877adf210073c8f8a70,False
20260908,0,scheduled,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/init.pt,4cc05d3bdd815c88d5f3bac3cf1312ebcc62c2f36cc454d6c7594057002233c6,False
20260908,10,scheduled,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_010.pt,d18401316b7caa1845cba08cd74b92e14fb9f7834ff457473c07071c0af7c9c0,False
20260908,25,scheduled,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_025.pt,097c2a92d4afc42a66dde38d7a1f39f150ecff16c0117eb4885297427ecaa9fd,False
20260908,50,scheduled,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_050.pt,a7e560e7b4961e0edac9bb8d0a06454a698ec719b2e60c139e9faa7892ae8076,False
20260908,75,scheduled,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_075.pt,0c6c58779c6e9008cf2da2c7f767d92944ec92b6fd1e6ee99d9069114da14cd1,False
20260908,100,scheduled,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/epoch_100.pt,da22a9fc91ca686325b1700e625f2a08321df51ea51730a8afd6a7ce7c0c8cdc,False
20260908,78,validation_selected_best,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260908/best_validation.pt,9203bdd3bb18959adeebf5c8ee7a9d0bb68e2fdaf4e553f0285dc4ec5f0f5f0a,False
20260909,0,scheduled,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260909/init.pt,3cf3c7f815f8aea1b40648e12b1aad1019f91b064aa2ce9b19dcb96433e28dba,False
20260909,10,scheduled,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260909/epoch_010.pt,f73a16f652786981a09bb57de271a1991aa114378024ee6663d5a877875b0644,False
20260909,25,scheduled,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260909/epoch_025.pt,68c7650a879033a1e0c0c77b1685a7381be0433ca962999d3b32485aa8fa4348,False
20260909,50,scheduled,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260909/epoch_050.pt,89b381055b61ca4d03376bd94cc4ff27abdaeb9505730c25fbd7b7fcac5ddc5b,False
20260909,75,scheduled,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260909/epoch_075.pt,69d06126e8330fbe0fd6838742edf7c590b0bc897415dabb6bdd4a4c3e145e5f,False
20260909,100,scheduled,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260909/epoch_100.pt,50564632168eadd8c318f5a62be099560bb4e40fe5c7824bd8ea76061b1a80eb,False
20260909,42,validation_selected_best,results/paper_v9_signal_processing/03_five_seed/checkpoints/dfa_trained/seed_20260909/best_validation.pt,087a1fbfb92edc55adcb6e4584bc2d68a8e2387465e3e4397e4ef4efb8ef3452,False
